Effect,Group,Day,Condition,log-diff,SE,ratio_fmt,pct_fmt
structured_minus_random,A,1.0,-,-0.0574295191234703,0.0084709832914153,"0.944 [0.929, 0.960]","-5.58% [-7.14%, -4.00%]"
structured_minus_random,A,2.0,-,-0.0981325539414951,0.007793888282426,"0.907 [0.893, 0.920]","-9.35% [-10.72%, -7.95%]"
structured_minus_random,B,1.0,-,-0.0846542809995807,0.0080181361518195,"0.919 [0.905, 0.933]","-8.12% [-9.55%, -6.66%]"
structured_minus_random,B,2.0,-,-0.079082211668447,0.0087280931263923,"0.924 [0.908, 0.940]","-7.60% [-9.17%, -6.01%]"
day2_minus_day1,A,-,random,-0.1088402599447408,0.010113777304826,"0.897 [0.879, 0.915]","-10.31% [-12.07%, -8.52%]"
day2_minus_day1,A,-,structured,-0.1495432947627657,0.0058446027074896,"0.861 [0.851, 0.871]","-13.89% [-14.87%, -12.90%]"
day2_minus_day1,B,-,random,-0.1239354485664916,0.0103784046356164,"0.883 [0.866, 0.902]","-11.66% [-13.44%, -9.84%]"
day2_minus_day1,B,-,structured,-0.1183633792353578,0.0060036249138405,"0.888 [0.878, 0.899]","-11.16% [-12.20%, -10.11%]"
B_minus_A,-,1.0,random,-0.0248494777216429,0.0980763142675244,"0.975 [0.805, 1.182]","-2.45% [-19.51%, 18.22%]"
B_minus_A,-,1.0,structured,-0.0520742395977533,0.0977211165457134,"0.949 [0.784, 1.150]","-5.07% [-21.62%, 14.97%]"
B_minus_A,-,2.0,random,-0.0399446663433936,0.0980878700039311,"0.961 [0.793, 1.165]","-3.92% [-20.72%, 16.45%]"
B_minus_A,-,2.0,structured,-0.0208943240703455,0.0977291315287302,"0.979 [0.809, 1.186]","-2.07% [-19.14%, 18.61%]"
