term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.02223702364625408,0.2751622613689171,-0.08081422043715629,0.9355896987879281,-0.5615451458339287,0.5170710985414204
C(Group)[T.B],0.037746321087754796,0.02819047655328361,1.338974210542678,0.1805790687029435,-0.017505997663701915,0.0929986398392115
C(day)[T.2],-0.0044197664340246065,0.02172217617440897,-0.20346793979286296,0.8387693018830349,-0.046994449401700236,0.03815491653365102
C(Group)[T.B]:C(day)[T.2],-0.02994269912631508,0.03586917979266368,-0.8347751272650862,0.4038443327088682,-0.10024499967492778,0.040359601422297615
AES_sum,-0.001514891450964757,0.001408562440758134,-1.0754876085929095,0.28215647705236524,-0.004275623104826533,0.001245840202897019
Age,0.0030237636445731063,0.00223336994217256,1.3539018267755827,0.17576770065280323,-0.001353561006239414,0.007401088295385627
Gender_num,0.03691552057104645,0.025411176052041167,1.4527277484302499,0.1462993594615532,-0.012889469295760951,0.08672051043785386
Depression_num,0.01651033823288933,0.04163570810068595,0.3965427510674982,0.6917046763220797,-0.06509415011527771,0.09811482658105637
SportsActivity_num,-0.014977484066673073,0.01403656807937674,-1.067033193724809,0.285956847080858,-0.042488651968796046,0.012533683835449897
fuglmayrshort_sum,-0.0103004404922666,0.009324993227057828,-1.1046056808254154,0.26933048845710594,-0.028577091373379878,0.007976210388846678
EQ5D_health_status,-0.0006715028372955015,0.0006485702312478392,-1.0353587089613105,0.3005014214955045,-0.0019426771319860808,0.0005996714573950778
GDS_sum,-0.001529449464902054,0.006335247614265917,-0.2414190506868255,0.8092303490353341,-0.013946306622006552,0.010887407692202443
MoCa_sum,0.000634267647436698,0.0029549156056571384,0.2146483121962613,0.8300415240511063,-0.005157260517006654,0.00642579581188005
MORE_sum,0.00024250615974192663,0.0007662157328136779,0.31649853867056693,0.7516241341812218,-0.0012592490809608468,0.0017442614004447002
TSS,-0.011969129469465758,0.006861626606413806,-1.7443574470050276,0.0810967802031961,-0.02541767049339861,0.0014794115544670954
NIHSS,0.006942639617755601,0.007020800508507871,0.9888672394753911,0.32272810095615845,-0.006817876521560323,0.020703155757071524
