term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-191.03791082748427,402.3071478777205,-0.47485587028533083,0.6348897073792753,-979.545431390846,597.4696097358776
C(Group)[T.B],55.752580504829126,56.03178637848467,0.9950170092424048,0.3197279917865318,-54.06770278644281,165.57286379610105
AES_sum,0.6705582503961856,5.019150885626096,0.1335999386502881,0.8937189327042563,-9.166796718403278,10.507913219195649
Age,0.04631995903355901,3.197044285771873,0.014488369535480435,0.988440358057416,-6.219771698058892,6.31241161612601
Gender_num,114.58317828624187,73.86386256120332,1.551275201608888,0.12083574703078014,-30.187332092733115,259.35368866521685
Depression_num,-48.556915272771434,92.96857770913684,-0.5222938380824483,0.6014657588248365,-230.7719792765929,133.65814873105006
SportsActivity_num,3.288611566841634,56.2927824643917,0.058419772888680055,0.9534142651808435,-107.043214652914,113.62043778659728
fuglmayrshort_sum,-2.052932929105238,14.164884644601852,-0.14493114350123548,0.884765237072043,-29.81559667768931,25.709730819478832
EQ5D_health_status,0.2591823947595847,0.9858131700929175,0.2629122866507815,0.7926181859969353,-1.6729759141077918,2.1913407036269614
GDS_sum,12.932789883610647,17.435124962999478,0.7417664003588383,0.4582288812052965,-21.239427109823573,47.105006877044865
MoCa_sum,0.9814237080959924,7.091955004819349,0.13838549559734437,0.8899357595596996,-12.918552681328517,14.881400097520501
MORE_sum,-0.09641648007351994,2.5666719265817637,-0.03756478538413176,0.9700346852858396,-5.127001016303811,4.9341680561567705
TSS,7.687457967249004,19.230570940045528,0.39975193618618604,0.6893392348335101,-30.003768477382806,45.37868441188081
NIHSS,-6.089508138373602,21.153942977181224,-0.2878663398564683,0.7734490536607368,-47.55047450466281,35.3714582279156
