term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,7.482,0.662,11.306,0.000,6.185,8.780
C(Group)[T.B],0.080,0.100,0.802,0.423,-0.116,0.276
C(day)[T.2],-0.100,0.010,-9.955,0.000,-0.120,-0.081
C(condition)[T.structured],-0.050,0.008,-6.113,0.000,-0.066,-0.034
C(Group)[T.B]:C(day)[T.2],0.002,0.015,0.157,0.876,-0.026,0.031
C(Group)[T.B]:C(condition)[T.structured],-0.029,0.012,-2.448,0.014,-0.052,-0.006
C(day)[T.2]:C(condition)[T.structured],-0.047,0.012,-4.049,0.000,-0.070,-0.024
C(Group)[T.B]:C(day)[T.2]:C(condition)[T.structured],0.051,0.017,3.070,0.002,0.019,0.084
BlockNumber,-0.001,0.000,-22.655,0.000,-0.001,-0.001
Age,-0.002,0.006,-0.416,0.677,-0.014,0.009
fuglmayrshort_sum,0.022,0.027,0.825,0.409,-0.031,0.076
MoCa_sum,-0.025,0.013,-1.928,0.054,-0.051,0.000
Group Var,0.083,0.118,,,,
